origin,destination,distance
25,39,977.21
25,40,2319.2
25,41,4076.76
25,42,511.34
25,44,58.25
25,45,1246.04
25,46,2237.6
25,47,1478.02
25,48,2628.95
25,49,3367.93
25,50,236.07
25,51,735.27
25,53,3941.41
25,54,876.34
25,55,1445.75
25,56,2903.81
25,72,2712.3
26,1,1118.62
26,2,4639.04
26,4,2628.06
26,5,1124.99
26,6,3116.27
26,8,1790.3
26,9,946.65
26,10,825.8
26,11,748.45
26,12,1688.67
26,13,1052.79
26,15,7099.83
26,16,2492.02
26,17,384.6
26,18,347.24
26,19,732.34
26,20,1138.01
26,21,566.54
26,22,1499.87
26,23,1174.27
26,24,747.8
26,25,1055.54
26,27,790.98
26,28,1237.9
26,29,837.47
26,30,2172.63
26,31,1091.21
26,32,2786.45
26,33,1038.01
26,34,857.23
26,35,2120.6
26,36,808.44
26,37,904.25
26,38,1293.59
26,39,294.64
26,40,1354.26
26,41,3061.32
26,42,660.05
26,44,1056.84
26,45,1023.26
26,46,1194.13
26,47,804.95
26,48,1766.14
26,49,2313.71
26,50,929.37
26,51,781.02
26,53,2952.88
26,54,539.66
26,55,401.87
26,56,1854.96
26,72,3212.52
27,1,1475.83
27,2,3948.31
27,4,2046.62
27,5,1114.47
27,6,2425.57
27,8,1143.18
27,9,1718.88
27,10,1616.14
27,11,1531.91
27,12,2200.88
27,13,1550.78
27,15,6346.22
27,16,1712.41
27,17,602.36
27,18,819.88
27,19,364.6
27,20,783.23
27,21,1070.3
27,22,1623.63
27,23,1877.78
27,24,1534.1
27,25,1809.64
27,26,790.98
27,28,1445.74
27,29,760.14
27,30,1382.03
27,31,537.36
27,32,2094.33
27,33,1773.78
27,34,1644.9
27,35,1601.61
27,36,1586.54
27,37,1589.9
27,38,512.12
27,39,1024.42
27,40,1102.5
27,41,2274.32
27,42,1451.0
27,44,1820.33
27,45,1641.07
27,46,445.72
27,47,1207.86
27,48,1623.17
27,49,1590.35
27,50,1642.09
27,51,1545.15
27,53,2161.94
27,54,1277.71
27,55,394.95
27,56,1109.96
27,72,3912.42
28,1,267.75
28,2,5266.24
28,4,2081.98
28,5,412.12
28,6,2756.02
28,8,1601.72
28,9,1779.54
28,10,1467.73
28,11,1333.57
28,12,926.88
28,13,537.89
28,15,6756.61
28,16,2570.77
28,17,978.31
28,18,893.23
28,19,1086.25
28,20,903.05
28,21,704.47
28,22,276.5
28,23,2152.91
28,24,1361.65
28,25,1932.27
28,26,1237.9
28,27,1445.74
28,29,695.37
28,30,2428.18
28,31,1173.52
28,32,2473.5
28,33,1972.47
28,34,1609.45
28,35,1569.19
28,36,1654.97
28,37,969.48
28,38,1843.58
28,39,1063.67
28,40,751.56
28,41,3145.63
28,42,1425.21
28,44,1898.42
28,45,813.2
28,46,1508.35
28,47,468.12
28,48,757.68
28,49,2175.93
28,50,1938.22
28,51,1222.01
28,53,3158.25
28,54,1062.2
28,55,1241.9
28,56,1898.15
28,72,2813.89
29,1,780.05
29,2,4595.55
29,4,1854.8
29,5,362.48
29,6,2424.9
29,8,1126.32
29,9,1682.48
29,10,1447.42
29,11,1322.41
29,12,1536.11
29,13,936.51
29,15,6457.19
29,16,2019.01
29,17,459.89
29,18,549.44
29,19,395.95
29,20,363.89
29,21,614.03
29,22,864.06
29,23,1979.35
29,24,1339.83
29,25,1817.51
29,26,837.47
29,27,760.14
29,28,695.37
29,30,1810.89
29,31,523.89
29,32,2107.77
29,33,1822.79
29,34,1544.76
29,35,1329.44
29,36,1540.25
29,37,1161.28
29,38,1151.59
29,39,841.12
29,40,517.11
29,41,2606.24
29,42,1329.97
29,44,1803.47
29,45,1121.19
29,46,833.59
29,47,598.96
29,48,958.16
29,49,1705.77
29,50,1737.21
29,51,1267.17
29,53,2575.03
29,54,1005.89
29,55,647.27
29,56,1332.31
29,72,3363.24
30,1,2578.75
30,2,2887.64
30,4,1491.23
30,5,2016.12
30,6,1421.96
30,8,945.43
30,9,3094.94
30,10,2996.47
30,11,2907.22
30,12,3333.8
30,13,2746.65
30,15,5028.39
30,16,415.67
30,17,1925.67
30,18,2144.29
30,19,1546.79
30,20,1525.76
30,21,2349.64
30,22,2469.58
30,23,3215.4
30,24,2911.29
30,25,3176.51
30,26,2172.63
30,27,1382.03
30,28,2428.18
30,29,1810.89
30,31,1286.99
30,32,1156.39
30,33,3131.8
30,34,3026.62
30,35,1416.03
30,36,2965.48
30,37,2905.76
30,38,902.02
30,39,2389.48
30,40,1729.57
30,41,902.47
30,42,2832.64
30,44,3191.74
30,45,2909.95
30,46,1016.1
30,47,2403.36
30,48,2134.13
30,49,711.43
30,50,2991.48
30,51,2908.73
30,53,784.36
30,54,2634.94
30,55,1773.01
30,56,567.53
30,72,5173.06
31,1,1297.21
31,2,4092.87
31,4,1558.66
31,5,772.45
31,6,2026.26
31,8,699.31
31,9,2028.48
31,10,1847.95
31,11,1736.49
31,12,2054.13
31,13,1459.95
31,15,6029.75
31,16,1508.28
31,17,740.59
31,18,932.82
31,19,358.94
31,20,307.07
31,21,1091.04
31,22,1274.86
31,23,2261.17
31,24,1747.98
31,25,2144.9
31,26,1091.21
31,27,537.36
31,28,1173.52
31,29,523.89
31,30,1286.99
31,32,1697.48
31,33,2129.19
31,34,1917.26
31,35,1082.3
31,36,1886.98
31,37,1651.23
31,38,709.43
31,39,1216.84
31,40,619.88
31,41,2095.71
31,42,1704.92
31,44,2142.88
31,45,1633.52
31,46,343.3
31,47,1118.7
31,48,1141.99
31,49,1242.92
31,50,2016.95
31,51,1707.48
31,53,2053.58
31,54,1433.1
31,55,730.08
31,56,825.67
31,72,3886.67
32,1,2707.88
32,2,3540.39
32,4,562.89
32,5,2114.25
32,6,331.64
32,8,999.63
32,9,3725.92
32,10,3534.69
32,11,3416.92
32,12,3380.99
32,13,2949.11
32,15,4349.53
32,16,805.99
32,17,2435.71
32,18,2614.57
32,19,2055.01
32,20,1743.94
32,21,2721.74
32,22,2381.32
32,23,3947.97
32,24,3431.15
32,25,3841.59
32,26,2786.45
32,27,2094.33
32,28,2473.5
32,29,2107.77
32,30,1156.39
32,31,1697.48
32,33,3823.05
32,34,3611.89
32,35,927.48
32,36,3584.3
32,37,3259.49
32,38,1789.2
32,39,2906.04
32,40,1737.1
32,41,1015.77
32,42,3398.2
32,44,3840.28
32,45,3186.49
32,46,1649.03
32,47,2665.52
32,48,1863.89
32,49,524.75
32,50,3705.49
32,51,3372.16
32,53,1232.48
32,54,3104.62
32,55,2407.4
32,56,1007.05
32,72,5267.02
33,1,1746.91
33,2,5283.81
33,4,3657.97
33,5,2029.0
33,6,4153.35
33,8,2828.14
33,9,218.43
33,10,545.5
33,11,663.44
33,12,1934.51
33,13,1531.72
33,15,8119.04
33,16,3483.29
33,17,1406.87
33,18,1273.52
33,19,1770.28
33,20,2156.81
33,21,1307.49
33,22,2247.24
33,23,184.42
33,24,632.52
33,25,97.84
33,26,1038.01
33,27,1773.78
33,28,1972.47
33,29,1822.79
33,30,3131.8
33,31,2129.19
33,32,3823.05
33,34,389.53
33,35,3142.58
33,36,318.52
33,37,1102.66
33,38,2229.99
33,39,987.51
33,40,2329.94
33,41,4033.39
33,42,547.35
33,44,155.12
33,45,1310.18
33,46,2207.11
33,47,1512.82
33,48,2656.26
33,49,3343.24
33,50,153.01
33,51,795.29
33,53,3891.99
33,54,911.11
33,55,1419.49
33,56,2874.74
33,72,2809.51
34,1,1373.48
34,2,5364.66
34,4,3398.89
34,5,1706.83
34,6,3938.21
34,8,2612.31
34,9,175.11
34,10,155.97
34,11,279.56
34,12,1550.52
34,13,1148.38
34,15,7945.14
34,16,3349.17
34,17,1176.83
34,18,1004.03
34,19,1565.05
34,20,1897.08
34,21,978.65
34,22,1881.25
34,23,573.09
34,24,249.71
34,25,328.18
34,26,857.23
34,27,1644.9
34,28,1609.45
34,29,1544.76
34,30,3026.62
34,31,1917.26
34,32,3611.89
34,33,389.53
34,35,2874.18
34,36,115.9
34,37,713.62
34,38,2137.78
34,39,709.09
34,40,2032.92
34,41,3918.03
34,42,215.25
34,44,289.37
34,45,921.02
34,46,2050.12
34,47,1161.16
34,48,2317.39
34,49,3156.02
34,50,428.59
34,51,407.62
34,53,3803.98
34,54,564.79
